ID;Identificador;Descrição;Grupo nível 01;Grupo nível 02;Grupo nível 03;Grupo nível 04;Grupo nível 05;Janeiro/2017;Fevereiro/2017;Março/2017;Abril/2017;Maio/2017;Junho/2017;Julho/2017;Agosto/2017;Setembro/2017;Outubro/2017;Novembro/2017;Dezembro/2017;Janeiro/2018;Fevereiro/2018;Março/2018;Abril/2018;Maio/2018;Junho/2018;Julho/2018;Agosto/2018;Setembro/2018;Outubro/2018;Novembro/2018;Dezembro/2018;Janeiro/2019;Fevereiro/2019;Março/2019;Abril/2019;Maio/2019;Junho/2019;Julho/2019;Agosto/2019;Setembro/2019;Outubro/2019;Novembro/2019;Dezembro/2019;Total
17427;AP0235;AP BIC AD NY F METAL VINHO  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;15;12;3;4;2;15;60
17419;AP0236;AP BIC AD NY F METAL PRETO  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;41;94;61;107;65;87;96;572
17431;AP0240;AP BIC AD NY F METAL ROYAL  LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
17434;AP0243;AP BIC AD NY F METAL VINHO  LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4
17436;AP0244;AP BIC AD NY F METAL PRETO  LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;31;0;66
6111;AP0302;AP BIC AD NY F CONT CINZA LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
6116;AP0307;AP BIC AD NY F CONT VINHO LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
6117;AP0308;AP BIC AD NY F CONT PRETO LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;3;30;0;0;0;0;1;6;1;10;15;0;0;150;0;2;32;17;30;9;0;5;0;11;0;0;0;0;0;0;0;0;0;0;0;322
6118;AP0309;AP BIC AD NY F CONT AZUL PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;17;87;70;46;82;84;72;86;77;58;40;37;47;44;82;90;39;51;59;56;44;32;45;36;107;96;43;54;26;12;10;1;0;0;0;0;1730.00
6119;AP0310;AP BIC AD NY F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;29;116;139;126;124;51;81;73;93;120;102;40;102;43;136;95;70;59;356;159;38;93;20;61;35;89;81;79;37;36;11;25;0;0;0;0;2719.00
6120;AP0311;AP BIC AD NY F CONT ROSA PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;9;42;36;36;55;37;42;53;16;28;15;38;39;25;63;42;32;27;48;30;49;34;17;19;26;37;31;35;16;20;19;14;1;0;0;0;1031.00
6121;AP0312;AP BIC AD NY F CONT ROYAL PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;1;17;21;17;10;9;27;16;9;19;10;21;5;15;23;26;3;8;13;23;7;7;12;4;4;19;6;21;1;8;1;0;0;0;0;0;383
6122;AP0313;AP BIC AD NY F CONT VERDE PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;3;18;32;24;25;32;30;19;27;50;32;39;36;25;63;18;26;23;25;36;11;10;20;9;8;34;25;11;14;12;2;2;1;0;0;0;742
6123;AP0314;AP BIC AD NY F CONT VERMELHO PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;2;21;31;15;7;10;20;4;5;26;3;11;10;9;18;7;31;5;19;10;13;6;7;9;1;10;17;13;0;3;6;0;0;0;0;0;349
6124;AP0315;AP BIC AD NY F CONT VINHO PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;25;110;92;82;82;59;63;128;104;71;44;66;74;67;139;95;80;67;92;109;74;65;51;64;61;96;95;87;61;44;9;6;4;0;2;0;2368.00
6125;AP0316;AP BIC AD NY F CONT PRETO PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;189;540;437;481;543;442;2319.00;762;418;486;469;281;447;404;679;448;399;665;485;610;602;632;337;325;344;710;564;662;322;177;153;86;12;0;0;0;16430.00
6129;AP0320;AP BIC AD NY F CONT CINZA PVC EXP;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;20
17403;AP0329;AP BIC AD NY F CONT AZUL  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;61;39;36;34;36;35;268
17404;AP0330;AP BIC AD NY F CONT CINZA  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;22;59;67;43;48;25;305
17405;AP0331;AP BIC AD NY F CONT ROSA  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;20;34;40;20;28;14;187
17406;AP0332;AP BIC AD NY F CONT ROYAL  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;11;2;1;1;7;31
17407;AP0333;AP BIC AD NY F CONT VERDE  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;26;13;23;15;9;11;104
17408;AP0334;AP BIC AD NY F CONT VERMELHO  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;1;2;4;5;25
17409;AP0335;AP BIC AD NY F CONT VINHO  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;80;48;88;101;86;96;70;571
17410;AP0336;AP BIC AD NY F CONT PRETO  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;356;259;487;642;659;484;382;3327.00
17415;AP0341;AP BIC AD NY F CONT VERDE  LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
17418;AP0344;AP BIC AD NY F CONT PRETO  LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;34;37
6138;AP0702;AP BIC INF NY F CONT CINZA LATEX;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE LATEX;;;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
6145;AP0833;AP BIC AD INNOVA PLUS NY F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PLUS(S/ MANGUITO);;;5;5;10;2;3;2;12;3;0;5;0;8;4;10;6;7;2;0;0;8;0;6;0;11;9;26;9;5;1;5;0;0;0;0;0;0;164
6146;AP0838;AP BIC AD INNOVA PLUS NY F CONT PRETO PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PLUS(S/ MANGUITO);;;25;92;29;32;25;47;27;27;40;56;14;61;59;43;91;41;11;56;71;81;68;68;1;16;0;0;0;67;9;40;0;0;0;0;0;0;1197.00
6147;AP0839;AP BIC AD INNOVA PLUS NY F CONT AZUL PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PLUS(S/ MANGUITO);;;12;17;4;12;9;11;7;1;6;12;8;12;6;10;3;11;3;4;5;5;8;1;61;68;61;44;34;31;46;19;75;20;0;0;0;0;626
17400;AP0843;AP BIC AD INNOVA PLUS NY F CONT CINZA  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PLUS(S/ MANGUITO);;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;5;5;10;26
17401;AP0848;AP BIC AD INNOVA PLUS NY F CONT PRETO  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PLUS(S/ MANGUITO);;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;35;26;77;10;10;9;175
17402;AP0849;AP BIC AD INNOVA PLUS NY F CONT AZUL  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PLUS(S/ MANGUITO);;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;3;2;17;5;32
6151;AP1003;AP BIC AD G BRIM F CONT CINZA LATEX;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
6153;AP1005;AP BIC AD G BRIM F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;11;11;29;37;12;28;24;36;51;28;15;51;11;17;144;44;21;10;20;12;8;7;13;23;23;10;2;20;48;19;27;11;9;0;0;0;832
6155;AP1007;AP BIC AD G NY F CONTA AZUL PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;2;44;22;32;74;21;45;43;113;12;95;54;11;21;46;37;29;27;10;30;15;65;41;10;21;18;32;33;25;17;20;30;10;0;0;0;1105.00
17439;AP1015;AP BIC AD G BRIM F CONT CINZA  PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;3;0;8;4;5;41
6156;AP1017;AP BIC AD G NY F CONTA AZUL LATEX;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE LATEX;;;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;12
17440;AP1027;AP BIC AD G NY F CONTA AZUL  PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;29;12;55;27;129
6159;AP1601;AP BIC INF BRIM F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;1;2;68;24;13;11;19;49;10;20;4;0;7;17;66;28;4;10;31;5;17;0;0;21;18;0;2;0;13;5;0;5;12;0;0;0;482
17442;AP1611;AP BIC INF BRIM F CONT CINZA  PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12
6160;AP1702;AP BIC INF NY F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;27;39;19;15;66;36;30;38;122;31;237;34;14;6;32;27;77;31;66;24;19;52;14;30;11;9;27;64;39;11;20;20;0;0;0;0;1287.00
17443;AP1712;AP BIC INF NY F CONT CINZA  PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;10;24;28;9;32;22;140
6161;AP1801;AP BIC R NASC BRIM F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;3;6;3;1;0;0;0;0;0;0;0;0;0;3;4;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
17444;AP1811;AP BIC R NASC BRIM F CONT CINZA  PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
6162;AP1901;AP BIC R NASC NY F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;1;0;2;0;0;0;5;0;60;0;2;0;8;0;3;3;3;3;12;1;7;0;0;6;1;10;0;0;0;0;0;0;0;0;127
17445;AP1911;AP BIC R NASC NY F CONT CINZA  PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;1;0;20
6165;AP3000;AP BIC AD ARG NY F CONT PRETO PVC;BIC;PRODUTO ACABADO;LINHA OMEGA;;;16;47;42;42;4;25;10;32;49;63;74;42;16;23;24;39;38;90;5;39;8;38;24;29;10;33;34;37;35;17;1;6;0;0;0;0;992
17447;AP3001;AP BIC AD ARG NY F CONT PRETO  PVC;BIC;PRODUTO ACABADO;LINHA OMEGA;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;23;2;30;16;38;49;23;186
6166;AP5001;AP BIC AD HOSP MESA PAR NY F CONT CINZA LATEX;BIC;PRODUTO ACABADO;LINHA HOSPITALAR LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;7
6167;AP5002;AP BIC AD HOSP MESA PAR NY F CONT AZUL LATEX;BIC;PRODUTO ACABADO;LINHA HOSPITALAR LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;30
17090;AP5003;AP BIC AD HOSP MESA PAR NY F METAL PRETO LATEX;BIC;PRODUTO ACABADO;LINHA HOSPITALAR LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;10
6171;AP5312;AP BIC AD HOSP MESA PAR NY F CONT PRETO PVC;BIC;PRODUTO ACABADO;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;32
6172;AP5313;AP BIC AD HOSP MESA PAR ARG NY F CONT PRETO PVC;BIC;PRODUTO ACABADO;LINHA HOSPITALAR PVC;;;10;327;11;17;2;16;822;25;7;4;53;14;15;6;2;6;30;42;162;5;26;1;25;4;70;1;25;58;4;36;10;3;3;35;16;2;1895.00
6179;AP6105;AP BIC INF RODZ ANOD NY F CONT CINZA PVC;BIC;PRODUTO ACABADO;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
6184;AP6313;AP BIC AD RODZ ANOD ARG NY F CONT PRETO PVC;BIC;PRODUTO ACABADO;LINHA HOSPITALAR PVC;;;1;4;13;7;1;6;6;10;9;10;2;15;14;30;16;2;0;10;11;1;9;14;1;21;3;2;4;3;0;14;1;35;4;0;6;1;286
6185;AP6314;AP BIC AD G RODZ ANOD NY F CONT AZUL PVC;BIC;PRODUTO ACABADO;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;4;0;12
6188;AP6402;AP BIC AD RODZ BRANCO NY F CONT AZUL PVC;BIC;PRODUTO ACABADO;LINHA HOSPITALAR PVC;;;32;15;6;13;10;33;21;44;51;13;12;8;16;0;23;43;7;8;11;109;20;43;14;15;14;0;9;37;6;7;2;4;5;2;9;10;672
6189;AP6403;AP BIC INF RODZ BRANCO NY F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA HOSPITALAR PVC;;;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
16739;AP6405;AP BIC AD G RODZ BRANCO NY F CONT AZUL PVC;BIC;PRODUTO ACABADO;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;11
10556;AP6412;AP BIC AD RODZ BRANCO NY F CONT AZUL LATEX;BIC;PRODUTO ACABADO;LINHA HOSPITALAR LATEX;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
6191;AUSPA0101Q;AUSCULTADOR DUOSSON ADULTO PAMED;PAMED;PRODUTO ACABADO;ACESSORIO;;;0;5;8;16;20;2;0;6;10;25;30;0;0;1;1;11;2;17;0;3;0;5;2;0;42;13;0;30;4;59;0;5;0;0;10;2;329
6193;AUSPA0102Q;AUSCULTADOR UNISSON ADULTO  PAMED;PAMED;PRODUTO ACABADO;ACESSORIO;;;5;39;15;3;30;24;0;0;8;0;43;0;5;56;0;36;15;0;21;0;0;20;23;10;17;33;10;15;10;15;27;15;0;30;0;0;525
